receiver,amount
0xba50958e195f714d714ef9ad87606eed764ac3ed,70
0x8bb39f2c3b477e3de4c2b24a87ae53cdae1dd19e,70
0xaf6ede0fd7399f4002caf492ebb1e60e4f36556b,70
0xb23798b78d23fab3d6666730302e22a0f188a344,70
0xeea89c8843e8beb56e411bb4cac6dbc2d937ee1d,70
0x050be9221fd3cafd12a735b8af2a6b04b3f71a42,70
0xa2672e59cf9cff6a140423f84de997f255a29523,70
0x4f2d1b87499ea88aeb0682154377badbdfda2df1,70
0x5a07bbf23bb873a2c6c927b891cf5f879e8a91f7,70
0x5ab45fb874701d910140e58ea62518566709c408,70
0xc11fe818695b1e97e3373afe8e2624cb6ac634d8,70
0xca85460d23bfb2e0079bab5aac84921d9d0762a4,70
0xe631b7c5cd957bba32a732d1e833eed62bba9d2d,70
0x7d544a853dbcd39a53315e7002f4951a6d2f080d,70
0xf361e5cd3bbb79597a8fc5c6b487f575326f2d1f,70
0x44d5a0b1e165a17c16d940ca774a28e62d4b44b0,70
0x5842d56659699c6990052e2a42b62c6d70692816,70
0x7a775b60ac93b5c089b19ee408a729ff9fdd5d0c,70
0xa16d723be1d89319b575b8b5e1a7b3ac048e3db1,70
0xd78f0e92c56c45ff017b7116189eb5712518a7e9,70
0x67580561ba59d3d59dfc854c9399d63e93c08d25,70
0x7d57df5b6d9d22d7a7305c6ea78a1f86b8696374,70
0xfc92a0656b4bd7fbf4cbdf2d7b55c251d738c3d8,70
0x80f9b8db89569d4745231f267ad37f9f8e2c2784,70
0xcbc37d1120d7fa7013bcf35582cb12ea17b2bd4e,70
0x2d84a98248ce384e98882e1330a678b42afa2ee2,70
0x2d3ef369ae2f41b1a051e7b6445406c1bc02dee2,70
0x05acb16a4aa65ea299d8b2dad0a5f37cd4b09a73,70
0x947bf4cf4f63d5c1155061280456d4a9695bffd4,70
0x2662f48d4191b672cad523f54f761dfc13cbd2f1,70
0x8bca9f3016a33b1e34135d5f536e46ed541f1a28,70
0x9222d9424f6a9dff078d59ce9604eba823807173,70
0x830e7a57bf7c332288e3599d22f00702f7c9ad21,70
0x8c72dc9bd9af2921db19bc950e3c65a15f7e9dc3,70
0xf4507e5c96ed93a9254a8f11ed3abd51735872e3,70
0xba62f626ed3b5937c2daeb7176c23722da25ef10,70
0x6c40798acaec7502c3d276cfb4e79423571a5b0a,70
0x009be2a49bf5e2ab024fefcc306be4fb1e9bddce,70
0x85399d0f51a78e7cc66330f3b9eb83c5e5762513,70
0x2f1a2b474215a941e75db302b0c75044998d2878,70
0xec3de6e05f3c5a0b8304488be1f114ed0104e10d,70
0x081e7a89b50656111b50dc35dc7242cf12bc96f4,70
0x71ca7186485e429ff4d88c075c064faee8c95761,70
0xbe918163c3839071de42f8529916dfe83e3b6897,70
0x51e9c681beed0dbafd3a3e80aad9b14027b3fd8d,70
0xdf1b02672d19909f80805aa3b217b8c9cd704d60,70
0x291092ae084c08530a035cc844bf8ab0ebeb9e7d,70
0x9d919f040ee44c6e224395b3ea8a97f3ffc4a523,70
0x051814c6e28c96264e0c5f328bbc5b43a774e7f0,70
0x44eca60441d3970d8d60ec3239e6d6fcb8b45a3c,70
0xc746fe78b267b5cca0d1b6d3049cbcb9e45cccd6,70
0x2b278cdf4ba6894410bac5425565a6c4f7626da9,70
0xae1a641d4c0270b7a85959d6f6495a721deb1be7,70
0x98cb6107a67da3375f16c304aeffe1fcc0b1239f,70
0xcabc1ba880b1985a497989147b7ffd845980f561,70
0x1e409c78db6e64c69e7324b793f20282d55d11cc,70
0x8ffeb747a3abd6a613af3fb084dfca68cd1341a1,70
0xa663a1afa3cceb9e6cf5d0e612b80d2bad85e6d2,70
0xcf615a332888ab78a529bcb60d4de02a45eddbcf,70
0xba743394ca6c38886c066e45bb9980a09aec7a65,70
0xe3b0db43a047ae3393ebff3233fe850a3d4df814,70
0x6a6743b85899cc2571c8034e209f74f5a92a0e9b,70
0x672e52aef4c7f2a33190c16ff24cba17eb56e666,70
0x4a05a4e44f7f4de0c10a477121f83acf19527c71,70
0x6f542d6c91323b87e0c5b22ccb87a850b1f51199,70
0x493945081f0279dc589c4fac3b3928d98b0ea0c9,70
0xcded4644e025e9792352cee1b31f410adb7c9fc6,70
